Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,Phylo_Dist_Root,Phylo_Branch_Len,Salinity_Tol
Abies,Pinaceae,Pinophyta,0.362318841,0.041666667,1.0,1.0,0.004761905,0.2876006946967245,1.0,1.0,0.0,0.695652174,0.8674,17.23266667,9.085723529,8.0,1.0,0.0
Abronia,Nyctaginaceae,Caryophyllales,4.166666667,0.3125,0.6875,0.0,0.005063291,0.0,0.9841325564285818,0.7694294731480881,1.0,3.0,0.6304592000547441,1.19,,22.0,1.0,100.0
Abutilon,Malvaceae,Malvales,0.0,0.0,0.763157895,0.394736842,0.006153846,0.0,1.0,1.0,1.0,3.5,0.057,1.245,0.0,28.0,1.0,17.24137931034483
Acacia,Fabaceae,Fabales,0.208188758,0.136363636,1.0,1.0,0.096494845,0.0,1.0,0.9291558728928572,1.0,1.5,0.807875,1.186321839,31.78010935,18.0,1.0,100.0
Acaena,Rosaceae,Rosales,8.888888889,0.4,1.0,0.0,0.001060071,0.0,0.869068767173913,0.5,0.9722222222083332,2.1739697801,0.8256875,0.33,,22.0,1.0,2.7777777777777777
Acalypha,Euphorbiaceae,Malpighiales,0.0,0.0,0.0,0.0,0.01239531,0.2,0.980769231,0.744047619,0.0,2.772727273,0.58,2.6397142856666664,,26.0,1.0,7.142857142857143
Acamptopappus,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025208,2.58694816475,0.6654010416875,3.3862005286025645,,43.0,1.0,7.835820895522388
Acanthomintha,Lamiaceae,Lamiales,0.0,0.0,0.0,0.0,0.004320557,0.958333333375,1.0,0.7129528985652174,0.9986772486666666,1.5795454545454546,0.664,1.1319000933529413,,25.0,1.0,2.127659574468085
Acanthopanax,Araliaceae,Apiales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,2.4728535353333334,0.6304592000547441,1.8086842105,,24.0,1.0,0.0
Acanthospermum,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.0,0.9667911996712328,0.761325295527027,1.0,2.58694816475,0.6654010416875,3.3862005286025645,,38.0,1.0,7.835820895522388
Acanthus,Acanthaceae,Lamiales,0.0,0.0,1.0,0.0,0.000857143,1.0,0.9841325564285818,0.7694294731480881,1.0,0.8,0.6304592000547441,3.61002258814534,,25.0,1.0,100.0
Acer,Sapindaceae,Sapindales,0.185013876,0.042553191,1.0,1.0,0.001265823,0.0,1.0,0.916666667,0.833333333,2.166666667,0.945,0.908181818,26.43476679,20.0,1.0,16.666666666666668
